NYC HOUSING AUTHORITY,Internal,Planning and Program Scheduler,ASSOCIATE PROJECT MANAGER,02,Above 50K,Capital Planning
NYC HOUSING AUTHORITY,External,Planning and Program Scheduler,ASSOCIATE PROJECT MANAGER,02,Above 50K,Capital Planning
DEPT OF ENVIRONMENT PROTECTION,External,"Deputy Commissioner, Engineering Design & Construction",DEPUTY COMMISSIONER (DEP),M7,Above 50K,Heavy Construction/Administrat
DEPT OF ENVIRONMENT PROTECTION,Internal,"Deputy Commissioner, Engineering Design & Construction",DEPUTY COMMISSIONER (DEP),M7,Above 50K,Heavy Construction/Administrat
DEPT OF ENVIRONMENT PROTECTION,External,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,M2,Above 50K,Executive Management
DEPARTMENT OF FINANCE,Internal,IT Asset Management College Aide,COLLEGE AIDE (ALL CITY DEPTS),02,Below 50K,Asset Management Team
DEPT OF ENVIRONMENT PROTECTION,Internal,Senior Engineer,ASSOCIATE PROJECT MANAGER,03,Above 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,External,Senior Engineer,ASSOCIATE PROJECT MANAGER,03,Above 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,Internal,Gardener,GARDENER,01,Below 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Internal,Marine Electronics Technician,MARINE ELECTRONICS TECHNICIAN,00,Above 50K,Marine Section
DEPT OF ENVIRONMENT PROTECTION,External,Marine Electronics Technician,MARINE ELECTRONICS TECHNICIAN,00,Above 50K,Marine Section
DEPT OF ENVIRONMENT PROTECTION,Internal,Borough Director,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Sandy Program Management
DEPT OF ENVIRONMENT PROTECTION,External,Gardener,GARDENER,01,Below 50K,Dept of Environment Protection
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Audits & Accounts Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,OCME-Admin
DEPT OF HEALTH/MENTAL HYGIENE,External,Audits & Accounts Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,OCME-Admin
HRA/DEPT OF SOCIAL SERVICES,Internal,DIRECTOR OF IT OPERATIONS,COMPUTER SYSTEMS MANAGER,M2,Above 50K,HHS Connect-NM
DEPT OF ENVIRONMENT PROTECTION,External,Asset Management Information Specialist,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,Internal,Asset Management Information Specialist,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,Croton Filtration Plant
DEPT OF ENVIRONMENT PROTECTION,External,Borough Director,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Sandy Program Management
DEPT OF ENVIRONMENT PROTECTION,Internal,Deputy Chief,SENIOR STATIONARY ENGINEER (EL,00,Above 50K,Administration
LAW DEPARTMENT,Internal,Office Manager,CLERICAL ASSOCIATE,03,Below 50K,Appeals
DEPARTMENT OF TRANSPORTATION,External,Machinist,MACHINIST,00,Below 50K,F&GA-Pier 7 Maintenance
DEPARTMENT OF TRANSPORTATION,External,Program Planner,CITY PLANNER,02,Above 50K,Financial Management &Analysis
DEPARTMENT OF TRANSPORTATION,Internal,Program Planner,CITY PLANNER,02,Above 50K,Financial Management &Analysis
NYC HOUSING AUTHORITY,Internal,HEATING PLANT TECHNICIAN,HEATING PLANT TECHNICIAN (HA),00,Below 50K,Technical Services Department
DEPT OF ENVIRONMENT PROTECTION,External,"Deputy Commissioner, Wastewater Treatment",ADMINISTRATIVE ENGINEER,M7,Above 50K,Administration
DEPARTMENT OF TRANSPORTATION,Internal,Machinist,MACHINIST,00,Below 50K,F&GA-Pier 7 Maintenance
DEPT OF ENVIRONMENT PROTECTION,Internal,Scientist (Water Ecology),SCIENTIST (WATER ECOLOGY),03,Above 50K,DWOC Labs-Lefrak
DEPT OF ENVIRONMENT PROTECTION,External,Fleet Services Specialist,QUALITY ASSURANCE SPECIALIST (,01,Below 50K,Motor Maintenance
DEPT OF ENVIRONMENT PROTECTION,Internal,Fleet Services Specialist,QUALITY ASSURANCE SPECIALIST (,01,Below 50K,Motor Maintenance
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Assistant Director of Forensic Operations,CRIMINALIST ASSISTANT DIRECTOR,M1,Above 50K,OCME-Operations
LAW DEPARTMENT,External,COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),02,Below 50K,Info Technology (Part-Time)
LAW DEPARTMENT,Internal,COLLEGE AIDE,COLLEGE AIDE (ALL CITY DEPTS),02,Below 50K,Info Technology (Part-Time)
LAW DEPARTMENT,Internal,LAW STUDENT,STUDENT LEGAL SPECIALIST,00,Below 50K,Legal Counsel
LAW DEPARTMENT,External,LAW STUDENT,STUDENT LEGAL SPECIALIST,00,Below 50K,Legal Counsel
DEPT OF HEALTH/MENTAL HYGIENE,External,Assistant Director of Forensic Operations,CRIMINALIST ASSISTANT DIRECTOR,M1,Above 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,02,Below 50K,Microbiology
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,02,Below 50K,Microbiology
TAXI & LIMOUSINE COMMISSION,External,Licensing Analyst,COMMUNITY ASSOCIATE,00,Below 50K,Licensing Division Exec Offi
DEPT OF ENVIRONMENT PROTECTION,External,Stormwater Program Coordinator,ASSOCIATE PROJECT MANAGER,03,Above 50K,Dept of Environment Protection
TAXI & LIMOUSINE COMMISSION,Internal,Licensing Analyst,COMMUNITY ASSOCIATE,00,Below 50K,Licensing Division Exec Offi
DEPT OF ENVIRONMENT PROTECTION,External,Project Manager,CITY RESEARCH SCIENTIST,02,Above 50K,Landfill Remediation
DEPT OF ENVIRONMENT PROTECTION,Internal,Project Manager,CITY RESEARCH SCIENTIST,02,Above 50K,Landfill Remediation
DEPT OF ENVIRONMENT PROTECTION,Internal,Port Marine Engineer (Vessels),PORT MARINE ENGINEER,00,Above 50K,Marine Section
DEPT OF ENVIRONMENT PROTECTION,Internal,"Deputy Commissioner, Wastewater Treatment",ADMINISTRATIVE ENGINEER,M7,Above 50K,Administration
DEPT OF ENVIRONMENT PROTECTION,External,Port Marine Engineer (Vessels),PORT MARINE ENGINEER,00,Above 50K,Marine Section
DEPT OF ENVIRONMENT PROTECTION,Internal,Seasonal City Park Worker,CITY PARK WORKER,00,Below 50K,Green Infrastructure
DEPT OF INFO TECH & TELECOMM,Internal,"Deputy Director, Audits and Accounts",ADM MANAGER-NON-MGRL FRM M1/M2,00,Below 50K,Financial Services
DEPT OF ENVIRONMENT PROTECTION,External,Per Diem - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,01,Below 50K,Lead Monitor - Lefrak
DEPT OF ENVIRONMENT PROTECTION,Internal,Stormwater Program Coordinator,ASSOCIATE PROJECT MANAGER,03,Above 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,External,Seasonal City Park Worker,CITY PARK WORKER,00,Below 50K,Green Infrastructure
NYC HOUSING AUTHORITY,Internal,Borough Safety Specialist,INDUSTRIAL HYGIENIST,02,Below 50K,Office of Safety and Security
NYC HOUSING AUTHORITY,External,Borough Safety Specialist,INDUSTRIAL HYGIENIST,02,Below 50K,Office of Safety and Security
NYC HOUSING AUTHORITY,External,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,00,Above 50K,Management Services Department
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Project Coordinator, District Public Health Brooklyn",ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Brooklyn Health Action Center
NYC HOUSING AUTHORITY,Internal,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,00,Above 50K,Management Services Department
DEPT OF ENVIRONMENT PROTECTION,External,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,M2,Above 50K,Executive Management
NYC EMPLOYEES RETIREMENT SYS,Internal,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,04,Above 50K,Executive Management
NYC EMPLOYEES RETIREMENT SYS,External,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,04,Above 50K,Executive Management
DEPT. OF HOMELESS SERVICES,External,Assistant Commissioner of Facility Operations,ADMINISTRATIVE CONSTRUCTION PR,M4,Above 50K,Managerial
DEPT OF ENVIRONMENT PROTECTION,Internal,"Director, Strategic Sourcing",ADMINISTRATIVE PROJECT MANAGER,M2,Above 50K,Executive Management
NYC HOUSING AUTHORITY,Internal,Temporary Painter,PAINTER,00,Below 50K,Dept of Management & Planning
NYC HOUSING AUTHORITY,External,Temporary Painter,PAINTER,00,Below 50K,Dept of Management & Planning
DEPT OF ENVIRONMENT PROTECTION,Internal,Green Infrastructure Engineer,ENVIRONMENTAL ENGINEER,01,Above 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,Internal,Green Infrastructure Engineer,CIVIL ENGINEER,01,Above 50K,Green Infrastructure
HRA/DEPT OF SOCIAL SERVICES,Internal,ELIGIBILITY SPECIALIST,ELIGIBILITY SPECIALIST,03,Below 50K,Domestic Violence-NM
LAW DEPARTMENT,External,Assistant City Assessor,ASSISTANT CITY ASSESSOR,02,Below 50K,Tax & Bankruptcy LIT Div (FT)
LAW DEPARTMENT,Internal,Assistant City Assessor,ASSISTANT CITY ASSESSOR,02,Below 50K,Tax & Bankruptcy LIT Div (FT)
DEPT OF HEALTH/MENTAL HYGIENE,External,"Project Coordinator, District Public Health Brooklyn",ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Brooklyn Health Action Center
DEPT OF ENVIRONMENT PROTECTION,Internal,REPOST - Per Diem - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,01,Below 50K,Lead Monitor - Lefrak
DEPT OF ENVIRONMENT PROTECTION,External,REPOST - Per Diem - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,01,Below 50K,Lead Monitor - Lefrak
DEPT OF HEALTH/MENTAL HYGIENE,External,"Research Analyst, Family and Child Health Administration",CITY RESEARCH SCIENTIST,01,Above 50K,FCH Administration
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Contract Analyst,PROCUREMENT ANALYST,03,Above 50K,HIV/AIDS Administration
DEPT OF ENVIRONMENT PROTECTION,Internal,Associate Chemist,ASSOCIATE CHEMIST,02,Above 50K,DWOC Labs-Lefrak
DEPT OF ENVIRONMENT PROTECTION,Internal,Deputy Director of Planning Projections and Demand Management,ASSOCIATE PROJECT MANAGER,01,Above 50K,Div of Wetld Cos Com Plan/L
DEPT OF ENVIRONMENT PROTECTION,External,Deputy Director of Planning Projections and Demand Management,ASSOCIATE PROJECT MANAGER,01,Above 50K,Div of Wetld Cos Com Plan/L
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Research Analyst, Family and Child Health Administration",CITY RESEARCH SCIENTIST,01,Above 50K,FCH Administration
DEPT OF HEALTH/MENTAL HYGIENE,External,"Administrative Public Health Nurse, Bureau of School Health",ADMINISTRATIVE PUBLIC HEALTH N,M1,Below 50K,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Administrative Public Health Nurse, Bureau of School Health",ADMINISTRATIVE PUBLIC HEALTH N,M1,Below 50K,SH Nursing Services & Prof Dev
DEPT OF ENVIRONMENT PROTECTION,Internal,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Below 50K,Green Infrastructure
DEPARTMENT OF CORRECTION,Internal,Psychologist (Part-Time),PSYCHOLOGIST,03,Below 50K,Corection Asst Response Empl
DEPT OF ENVIRONMENT PROTECTION,External,Construction Project Manager Intern,CONSTRUCTION PROJECT MANAGER I,00,Below 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,Internal,"Deputy Director, Customer Service",ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Sandy Housing Rehab
DEPT OF ENVIRONMENT PROTECTION,External,"Deputy Director, Customer Service",ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Sandy Housing Rehab
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,02,Below 50K,Virology
OFFICE OF COLLECTIVE BARGAININ,Internal,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Administration
OFFICE OF COLLECTIVE BARGAININ,External,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Administration
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Clerical Associate, Bureau of Communicable Diseases",CLERICAL ASSOCIATE,03,Below 50K,Communicable Diseases
DEPT OF ENVIRONMENT PROTECTION,External,REPOST - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,01,Below 50K,Lead Monitor - Lefrak
DEPT OF HEALTH/MENTAL HYGIENE,External,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,02,Below 50K,Virology
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"City Research Scientist, Bureau of Environmental Sciences and Engineering",CITY RESEARCH SCIENTIST,01,Above 50K,Public Health Engineering
NYC HOUSING AUTHORITY,Internal,ASBESTOS HAZARD INVESTIGATOR,ASBESTOS HAZARD INVESTIGATOR,00,Below 50K,Management Services Department
NYC HOUSING AUTHORITY,External,ASBESTOS HAZARD INVESTIGATOR,ASBESTOS HAZARD INVESTIGATOR,00,Below 50K,Management Services Department
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Internetworking Specialist,CERT. IT ADMINISTRATOR WAN,03,Above 50K,OCME-Operations
DEPT OF ENVIRONMENT PROTECTION,Internal,REPOST - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,01,Below 50K,Lead Monitor - Lefrak
DEPT OF INFO TECH & TELECOMM,Internal,"Deputy Director, Audits and Accounts",COMPUTER ASSOC (TECH SUPP),01,Below 50K,Financial Services
DEPT OF INFO TECH & TELECOMM,Internal,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,00,Below 50K,311 Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,Internetworking Specialist,CERT. IT ADMINISTRATOR WAN,03,Above 50K,OCME-Operations
NYC HOUSING AUTHORITY,Internal,Agency Attorney II - Corporate Affairs,AGENCY ATTORNEY,02,Above 50K,Law Department
NYC HOUSING AUTHORITY,External,Agency Attorney II - Corporate Affairs,AGENCY ATTORNEY,02,Above 50K,Law Department
NYC HOUSING AUTHORITY,External,Cost Estimating Manager,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Capital Planning
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"City Research Scientist, Bureau of Childcare",CITY RESEARCH SCIENTIST,01,Above 50K,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,External,"City Research Scientist, Bureau of Childcare",CITY RESEARCH SCIENTIST,01,Above 50K,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,External,"City Research Scientist, Bureau of Environmental Sciences and Engineering",CITY RESEARCH SCIENTIST,01,Above 50K,Public Health Engineering
DEPT OF CITYWIDE ADMIN SVCS,External,Graphic Artist,GRAPHIC ARTIST,01,Below 50K,City Graphics
DEPT OF CITYWIDE ADMIN SVCS,External,Graphic Artist,GRAPHIC ARTIST,01,Below 50K,City Graphics
DEPARTMENT OF BUSINESS SERV.,Internal,Account Manager,CONTRACT REVIEWER (OFFICE OF L,01,Below 50K,Strategy & Analytics
DEPT OF INFO TECH & TELECOMM,Internal,Director of Strategic Technology Development,COMPUTER SYSTEMS MANAGER,M1,Below 50K,Strategic Technology Dev
DEPT OF ENVIRONMENT PROTECTION,External,Civil Engineer,ASSOCIATE PROJECT MANAGER,02,Above 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Internal,Civil Engineer,ASSOCIATE PROJECT MANAGER,02,Above 50K,Dept of Environment Protection
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Clerical Associate, Bureau of Vital Statistics",CLERICAL ASSOCIATE,03,Below 50K,Vital Statistics/Vital Recor
DEPARTMENT OF TRANSPORTATION,External,Systems Administrator - Computer Software,CERTIFIED IT ADMINISTRATOR LAN,03,Above 50K,IT & Telecom
DEPARTMENT OF TRANSPORTATION,Internal,Senior Software Developer,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,IT & Telecom
DEPARTMENT OF TRANSPORTATION,External,Senior Software Developer,COMPUTER SPECIALIST (SOFTWARE),03,Above 50K,IT & Telecom
DEPT OF ENVIRONMENT PROTECTION,Internal,Mechanical Engineer,MECHANICAL ENGINEER,01,Above 50K,Dept of Environment Protection
DEPT OF INFO TECH & TELECOMM,Internal,"Director, Infrastructure Build Coordinator",COMPUTER SYSTEMS MANAGER,M1,Below 50K,IT Svcs Delivery
DEPARTMENT OF FINANCE,External,Oracle SOA Lead Developer,COMPUTER SYSTEMS MANAGER,M2,Above 50K,Ctywd Paymts & Rcvbls-IT
NYC HOUSING AUTHORITY,External,Environmental Review Senior Analyst,CITY PLANNER,03,Above 50K,Capital Planning
NYC HOUSING AUTHORITY,Internal,Environmental Review Senior Analyst,CITY PLANNER,03,Above 50K,Capital Planning
DEPARTMENT OF TRANSPORTATION,External,Marine Oiler,MARINE OILER(FERRY OPERATIONS),00,Below 50K,F&Ga Marine Oilers-St George
DEPARTMENT OF FINANCE,Internal,Oracle SOA Lead Developer,COMPUTER SYSTEMS MANAGER,M2,Above 50K,Ctywd Paymts & Rcvbls-IT
NYC HOUSING AUTHORITY,Internal,Engineering Audit Officer,ADMINISTRATIVE ENGINEER,M2,Above 50K,CP Quality Assurance
NYC HOUSING AUTHORITY,External,Engineering Audit Officer,ADMINISTRATIVE ENGINEER,M2,Above 50K,CP Quality Assurance
LAW DEPARTMENT,Internal,Paralegal Aide,PARALEGAL AIDE,02,Below 50K,Family Court: New York
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,02,Below 50K,Env Health Assess and Comm
NYC HOUSING AUTHORITY,External,Electrical Engineer,ELECTRICAL ENGINEER,02,Above 50K,Office Of Design
DEPT OF ENVIRONMENT PROTECTION,Internal,Engineering Intern,CIVIL ENGINEERING INTERN,00,Below 50K,IBM Complex
NYC HOUSING AUTHORITY,Internal,Electrical Engineer,ELECTRICAL ENGINEER,02,Above 50K,Office Of Design
DEPT OF ENVIRONMENT PROTECTION,External,Public Marketing Advisor,ADMINISTRATIVE PUBLIC INFORMAT,M1,Above 50K,LongTerm Planning&Sustainablty
DEPARTMENT OF TRANSPORTATION,Internal,Auditor,MANAGEMENT AUDITOR,01,Below 50K,Auditor General
DEPARTMENT OF TRANSPORTATION,Internal,Auditor,MANAGEMENT AUDITOR,01,Below 50K,Auditor General
DEPARTMENT OF TRANSPORTATION,Internal,Electrician,ELECTRICIAN,00,Below 50K,Facilities Maintenance
DEPARTMENT OF TRANSPORTATION,Internal,Electrician,ELECTRICIAN,00,Below 50K,Facilities Maintenance
DEPT OF ENVIRONMENT PROTECTION,Internal,Public Marketing Advisor,ADMINISTRATIVE PUBLIC INFORMAT,M1,Above 50K,LongTerm Planning&Sustainablty
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Training & Technical Assistance Evaluator, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,02,Above 50K,HIV/AIDS Care & Treatment
DEPT OF HEALTH/MENTAL HYGIENE,External,"Training & Technical Assistance Evaluator, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,02,Above 50K,HIV/AIDS Care & Treatment
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Budget Director,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,OCME-Admin
DEPT OF HEALTH/MENTAL HYGIENE,External,Budget Director,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,OCME-Admin
DEPT OF HEALTH/MENTAL HYGIENE,External,Administrator on Duty,CRIMINALIST,02,Above 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Administrator on Duty,CRIMINALIST,02,Above 50K,OCME-Operations
DEPARTMENT OF TRANSPORTATION,External,City Planner 1,CITY PLANNER,01,Below 50K,Permit Management
DEPARTMENT OF FINANCE,Internal,BTS - Business Analyst,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Ctywd Paymts & Rcvbles-Ops
DEPARTMENT OF FINANCE,External,BTS - Business Analyst,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Ctywd Paymts & Rcvbles-Ops
DEPT OF ENVIRONMENT PROTECTION,External,Project Engineer,CIVIL ENGINEERING INTERN,00,Below 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Internal,Project Engineer,CIVIL ENGINEERING INTERN,00,Below 50K,Dept of Environment Protection
DEPARTMENT OF TRANSPORTATION,Internal,City Planner 1,CITY PLANNER,01,Below 50K,Permit Management
FIRE DEPARTMENT,Internal,Specifications Analyst,ASSOCIATE STAFF ANALYST,00,Above 50K,Fleet Maintenance Division
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Epidemiologic Liaison, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,03,Above 50K,HIV/AIDS Epidem & Field Srvcs
DEPT OF HEALTH/MENTAL HYGIENE,External,"Epidemiologic Liaison, Bureau of HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,03,Above 50K,HIV/AIDS Epidem & Field Srvcs
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Inspector,  Bureau of Veterinary and Pest Control Services",PUBLIC HEALTH SANITARIAN,01,Below 50K,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,External,"Inspector,  Bureau of Veterinary and Pest Control Services",PUBLIC HEALTH SANITARIAN,01,Below 50K,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Clinical Supervisor/NYC Supported Transition and Recovery Team (NYCSTART)/Mental Health,SUPERVISOR II SOCIAL WORK,00,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Deputy Director, QA & Strategic Statistical Analysis",HEALTH SERVICES MANAGER,M1,Above 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,"Deputy Director, QA & Strategic Statistical Analysis",HEALTH SERVICES MANAGER,M1,Above 50K,OCME-Operations
NYC HOUSING AUTHORITY,External,HIGH PRESSURE PLANT TENDER,HIGH PRESSURE PLANT TENDER,00,Above 50K,Technical Services Department
NYC HOUSING AUTHORITY,Internal,HIGH PRESSURE PLANT TENDER,HIGH PRESSURE PLANT TENDER,00,Above 50K,Technical Services Department
DEPT OF HEALTH/MENTAL HYGIENE,External,Clinical Supervisor/NYC Supported Transition and Recovery Team (NYCSTART)/Mental Health,SUPERVISOR II SOCIAL WORK,00,Above 50K,Mental Health
DEPT OF INFO TECH & TELECOMM,Internal,311 Escalation Line Team Leader,ASSOCIATE CALL CENTER REPRESEN,01,Below 50K,311 Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervising Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE,02,Below 50K,SH Nursing Services & Prof Dev
DEPT OF ENVIRONMENT PROTECTION,External,Port Marine Engineer,PORT MARINE ENGINEER,00,Above 50K,Marine Section
DEPT OF ENVIRONMENT PROTECTION,Internal,Port Marine Engineer,PORT MARINE ENGINEER,00,Above 50K,Marine Section
DEPT OF HEALTH/MENTAL HYGIENE,External,Software Developer,COMPUTER ASSOC (SOFTWARE),01,Above 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Software Developer,COMPUTER ASSOC (SOFTWARE),01,Above 50K,OCME-Operations
